RESPID,StartDate,StartTime,EndDate,EndTime,VER,VER2,VER3,VER4,QAREA,S1,S2,D100,D101,Q1,P1X,P1Y,A2,Q3,Q4,Q5,Q6,Q7,A8,B8,Q9,A10,B10,V1,B11,Q12,A13,B13,V2,E14,Q15,Q16,Q17,Q18,V3,Q19,V4,Q20,G21,H21,G22,H22,Q23,Q24,Q25,Q26,V5,Q27,D102,D300,D301,D105,D130,Q28,D106,D112,VF_DATA
110000,7/9/2018,4:29 PM,7/9/2018,5:07 PM,2,2,1,2,3,1,1,2,1974,2,5,2,,1,3,2,7,1,,3,3,,3,3,2,2,,2,3,3,3,3,3,3,3,4,3,2,,3,,3,3,3,3,3,3,13,8,2,2,5,5,,6,3,AGE=28;SEX=M;CF=0;REGNUM=3;BEST_PHONE=land;TSCORE=80;PSCORE=56;G2016=M;DENSITY=3;COUNTY=SPOKANE;AGENTNUM=4523
110001,7/9/2018,4:28 PM,7/9/2018,4:46 PM,1,2,1,1,1,1,2,1,1991,2,5,1,2,6,6,4,6,3,2,,4,3,,1,,1,1,,5,1,2,1,2,1,5,1,5,1,2,,3,,2,1,2,3,5,13,6,2,2,3,4,,3,2,AGE=27;SEX=M;CF=0;REGNUM=1;BEST_PHONE=land;TSCORE=25;PSCORE=43;G2016=;DENSITY=5;COUNTY=SPOKANE;AGENTNUM=4418
110002,7/9/2018,4:30 PM,7/9/2018,4:45 PM,1,2,2,2,1,1,1,2,1948,1,5,1,1,4,1,4,5,4,1,,2,3,,1,,1,1,,1,,1,1,1,1,1,3,1,1,,1,,1,1,1,1,1,1,1,5,2,2,2,4,,4,2,AGE=71;SEX=F;CF=0;REGNUM=1;BEST_PHONE=land;TSCORE=80;PSCORE=58;G2016=M;DENSITY=5;COUNTY=SPOKANE;AGENTNUM=4426
110003,7/9/2018,4:31 PM,7/9/2018,4:48 PM,2,2,2,2,1,1,1,1,1961,1,1,,,4,1,4,1,4,,1,4,,4,1,1,1,,1,1,,1,1,1,1,1,3,1,1,,1,,1,1,1,1,1,1,4,7,2,2,2,4,,5,2,AGE=67;SEX=M;CF=0;REGNUM=1;BEST_PHONE=land;TSCORE=97;PSCORE=97;G2016=M;DENSITY=4;COUNTY=SPOKANE;AGENTNUM=3682
110014,7/9/2018,4:52 PM,7/9/2018,5:08 PM,1,2,1,1,2,1,1,1,1952,1,5,3,5,4,1,4,6,4,1,,4,1,,1,,1,1,,1,1,1,1,3,1,1,3,1,1,1,,1,,1,1,1,1,1,7,4,2,2,6,4,,1,2,AGE=66;SEX=M;CF=0;REGNUM=2;BEST_PHONE=land;TSCORE=96;PSCORE=21;G2016=M;DENSITY=2;COUNTY=SPOKANE;AGENTNUM=4134
110015,7/9/2018,4:53 PM,7/9/2018,5:09 PM,1,1,2,1,3,1,1,1,1936,3,5,2,3,2,4,2,5,2,4,,3,4,,3,,2,3,,3,,3,3,3,3,3,3,3,2,3,,3,,3,3,3,3,3,13,6,97,2,3,1,2,5,2,AGE=82;SEX=M;CF=0;REGNUM=3;BEST_PHONE=land;TSCORE=81;PSCORE=28;G2016=M;DENSITY=2;COUNTY=SPOKANE;AGENTNUM=4418
110016,7/9/2018,4:54 PM,7/9/2018,5:12 PM,1,2,2,1,1,1,1,1,1946,2,1,,1,3,1,4,1,4,1,,4,2,,1,,1,4,,1,,1,1,1,1,1,3,1,1,1,,1,,1,1,1,1,1,13,7,2,2,2,1,3,1,2,AGE=72;SEX=M;CF=0;REGNUM=1;BEST_PHONE=land;TSCORE=96;PSCORE=98;G2016=M;DENSITY=5;COUNTY=SPOKANE;AGENTNUM=4611
110017,7/9/2018,4:54 PM,7/9/2018,5:09 PM,1,1,1,2,2,1,1,1,1942,1,3,,3,2,4,1,6,1,4,,4,4,,3,,2,2,,3,3,3,3,3,3,3,1,3,2,,3,,3,3,3,3,3,3,13,2,5,,5,1,6,1,2,AGE=76;SEX=M;CF=0;REGNUM=2;BEST_PHONE=land;TSCORE=96;PSCORE=2;G2016=M;DENSITY=4;COUNTY=SPOKANE;AGENTNUM=3682
110019,7/9/2018,4:56 PM,7/9/2018,5:10 PM,1,1,2,2,4,1,1,2,1928,1,1,,1,4,1,4,2,4,1,,4,2,,1,,1,1,,1,,1,1,1,1,1,3,1,1,,1,,1,1,1,1,1,1,1,4,97,2,1,1,3,5,2,AGE=90;SEX=F;CF=0;REGNUM=4;BEST_PHONE=land;TSCORE=87;PSCORE=97;G2016=M;DENSITY=1;COUNTY=PEND OREILLE;AGENTNUM=4426
110020,7/9/2018,4:58 PM,7/9/2018,5:09 PM,2,2,2,2,2,1,1,2,1928,2,1,,,2,6,3,2,3,,2,2,,4,1,1,1,,2,1,,1,3,1,1,1,2,5,3,,2,,2,2,2,2,2,2,1,5,2,2,2,4,,4,2,AGE=90;SEX=F;CF=0;REGNUM=2;BEST_PHONE=land;TSCORE=86;PSCORE=96;G2016=M;DENSITY=3;COUNTY=SPOKANE;AGENTNUM=4409
