Survey A,Survey B,Survey C
S1,S1,S1
S2,S2,S2
P1,P1,P1
P2T,P2AT,P2AT
,P2BT,P2BT
Q1,Q1,Q1
Q2,Q2,Q2
Q3,Q3,Q3
Q4,Q4,Q4
Q5,,
Q6,,
Q7,,
Q8,,
Q9,,
,Q5A,
,Q5B,
,,Q5
V1X,V1,V1
SW2,Q6,Q6
SW3,Q7,Q7
QVSUM,QVSUM,QVSUM
,Q8_1,Q10
,,Q8
Q10,Q8,Q11
,Q11,Q14
,Q14,Q17
Q12A,Q15,Q18
Q12B,,
Q13A,Q16,Q19
,Q17,Q20
Q13B,Q18A,A21
,Q18B,B21
Q14A,,
Q14B,,
Q15A,Q19A,A22
,Q19B,B22
Q15B,,
Q16A,Q20,Q23
,Q21A,A24
Q16B,,
,Q21B,B24
,Q22,Q25
,Q23,Q26
DAGE,DAGE,DAGE
D102,D102,D102
D105,D105,D105
DRACE,DRACE,DRACE
D100,D100,D100
PARTY,PARTY,PARTY
QAREA,D400,D400
