project_id,question_id,filter,nummult,row_order,short_name,suppress,text,type
18390,S1,,1,1,Voter Registration,f,Are you at least 18 years old and registered to vote at (ADDRESS ON FILE)?,punch
18390,S2,,1,2,Likelihood to Vote,f,"As you may know, there will be an election for Governor, US Senate, US Congress, and other offices this November. How likely are you to vote in the election for US Congress? Will you definitely vote, probably vote, are the chances 50-50, probably not vote, or definitely not vote?",punch
18390,P1,,1,3,Party Identification,f,"No matter how you may be planning to vote this year, when it comes to politics, do you generally think of yourself as a strong Democrat, not very strong Democrat, strong Republican, not very strong Republican, or Independent? (IF IND/DK/REFUSED) Do you think of yourself as closer to the Democratic Party or the Republican Party?",punch
18390,P1X,,1,4,,t,"No matter how you may be planning to vote this year, when it comes to politics, do you generally think of yourself as a strong Democrat, not very strong Democrat, strong Republican, not very strong Republican, or Independent?",punch
18390,P1Y,P1X(5-6),1,5,,t,Do you think of yourself as closer to the Democratic Party or the Republican Party?,punch
18390,P2T,,1,6,Excitement to Vote,f,How excited are you to vote in the November election for US Congress?,punch
18390,Q1,,1,7,Generic ballot,f,"If an election for US Congress was today, would you vote for the Democratic candidate or the Republican candidate? (IF DON'T KNOW/NOT SURE) But if you had to choose based only on party affiliation, which way would you lean?",punch
18390,DISP12,,,8,,f,"I have a list of names, and I would like to get your opinion of each one. Just let me know if there's one you haven't heard of... Do you have a favorable or unfavorable opinion of (ITEM)? (IF FAVORABLE) And is your opinion very favorable or somewhat favorable? (IF UNFAVORABLE) And is your opinion very unfavorable or somewhat unfavorable?",disp
18390,Q2,,1,9,Aeryn Sun,f,Aeryn Sun,punch
18390,Q3,,1,10,John Crichton,f,John Crichton,punch
18390,Q4,,1,11,Donald Trump,f,Donald Trump,punch
18390,Q5,,1,12,Democrats in Congress,f,Democrats in Congress,punch
18390,Q6,,1,13,Republicans in Congress,f,Republicans in Congress,punch
18390,Q7,,1,14,Senate vote,f,"If the election for U.S. Senate was today, for which candidate would you vote - Democrat Moya Shipson or Republican Rygel Smith? (IF UNDECIDED) But if you had to decide today, which way would you lean?",punch
18390,Q8,,1,15,Governor vote,f,"If the election for Governor was today, for which candidate would you vote - Democrat Bailar Crais or Republican Carl Dargo? (IF UNDECIDED) But if you had to decide today, which way would you lean?",punch
18390,V1,,1,16,Initial Vote,f,"If the election for US Congress was today, for which candidate would you vote - Democrat Aeryn Sun or Republican John Crichton? (IF UNDECIDED) But if you had to decide today, which way would you lean?",punch
18390,SW2,"V1(3,4,5)",1,17,Considering Sun,f,"Is there a chance you might consider voting for Democrat Aeryn Sun, or would you say there is NO chance you would consider voting for him?",punch
18390,SW3,"V1(1,2,5)",1,18,Considering Crichton,f,"Is there a chance you might consider voting for Republican John Crichton, or would you say there is NO chance you would consider voting for him?",punch
18390,Q9,,1,19,Which of the following would you prefer?,f,Which of the following would you prefer?,punch
18390,Q10,,1,20,Sun Rating,f,"How would you rate the job Aeryn Sun is doing as your Congresswoman? (IF NOT SO GOOD) If you had to choose, would you say you approve or disapprove of the job Aeryn Sun is doing as your Congresswoman?",punch
18390,Q11,Q10(3),1,21,,t,"If you had to choose, would you say you approve or disapprove of the job Aeryn Sun is doing as your Congresswoman?",punch
18390,Q12,,1,22,Sun ideology,f,"Based on his positions on issues, do you think Aeryn Sun is too liberal, too conservative, or just about right?",punch
18390,Q13,,1,23,Seen/read/heard - Sun,f,"Have you seen, read, or heard anything in the past few weeks about Aeryn Sun? (IF YES) Has what you've seen, read, or heard been mostly positive or mostly negative?",punch
18390,Q14X,"Q13(1,3)",3,24,Positive/Mixed - Sun,f,"In a few words, what positive things have you seen, read, or heard recently about Aeryn Sun?",punch
18390,Q14Y,"Q13(2,3)",3,25,Negative/Mixed - Sun,f,"In a few words, what negative things have you seen, read, or heard recently about Aeryn Sun?",punch
