project_id,question_id,respondent_id,response
18058,A19,5,1
18058,A19,6,4
18058,A19,10,1
18058,A19,11,5
18058,A19,12,1
18058,A19,13,2
18058,A19,18,2
18058,A19,19,5
18058,A19,21,1
18058,A19,22,1
18058,A19,25,4
18058,A19,27,3
18058,A19,28,3
18058,A19,29,3
18058,A19,30,1
18058,A19,32,2
18058,A19,37,4
18058,A19,39,1
18058,A19,40,4
18058,A19,41,2
18058,A19,45,5
18058,A19,46,5
18058,A19,47,2
18058,A19,48,4
18058,A19,51,2
18058,A19,53,4
18058,A19,57,2
18058,A19,64,4
18058,A19,65,4
18058,A19,66,4
18058,A19,68,2
18058,A19,69,5
18058,A19,75,1
18058,A19,77,5
18058,A19,79,2
18058,A19,81,2
18058,A19,82,2
18058,A19,89,2
18058,A19,90,2
18058,A19,94,2
18058,A19,96,3
18058,A19,97,3
18058,A19,98,2
18058,A19,100,5
18058,A19,103,1
18058,A19,104,3
18058,A19,106,3
18058,A19,107,3
18058,A19,108,1
18058,A19,110,3
18058,A19,112,3
18058,A19,114,4
18058,A19,119,2
18058,A19,120,5
18058,A19,126,2
18058,A19,127,2
18058,A19,128,2
18058,A19,129,4
18058,A19,132,2
18058,A19,134,5
18058,A19,135,2
18058,A19,136,3
18058,A19,137,2
18058,A19,141,4
18058,A19,144,4
18058,A19,146,2
18058,A19,147,4
18058,A19,149,3
18058,A19,150,1
18058,A19,151,4
18058,A19,155,5
18058,A19,157,4
18058,A19,159,5
18058,A19,160,4
18058,A19,162,4
18058,A19,163,4
18058,A19,164,4
18058,A19,165,1
18058,A19,169,2
18058,A19,170,2
18058,A19,171,3
18058,A19,172,2
18058,A19,175,5
18058,A19,176,2
18058,A19,178,5
18058,A19,179,1
18058,A19,182,3
18058,A19,184,1
18058,A19,185,4
18058,A19,186,5
18058,A19,188,2
18058,A19,189,2
18058,A19,190,2
18058,A19,191,2
18058,A19,195,4
18058,A19,196,2
18058,A19,197,2
18058,A19,199,4
18058,A19,204,4
18058,A19,207,3
18058,A19,209,2
18058,A19,210,2
18058,A19,213,5
18058,A19,215,2
18058,A19,217,5
18058,A19,221,1
18058,A19,222,2
18058,A19,223,5
18058,A19,228,1
18058,A19,229,4
18058,A19,231,5
18058,A19,232,2
18058,A19,233,5
18058,A19,236,1
18058,A19,238,4
18058,A19,240,2
18058,A19,241,2
18058,A19,243,1
18058,A19,244,2
18058,A19,246,3
18058,A19,250,4
18058,A19,251,2
18058,A19,255,4
18058,A19,256,1
18058,A19,259,5
18058,A19,260,4
18058,A19,266,5
18058,A19,269,4
18058,A19,270,1
18058,A19,281,3
18058,A19,285,2
18058,A19,286,1
18058,A19,287,2
18058,A19,289,2
18058,A19,291,5
18058,A19,295,4
18058,A19,297,1
18058,A19,300,5
18058,A19,301,3
18058,A19,304,4
18058,A19,306,3
18058,A19,307,1
18058,A19,309,2
18058,A19,310,4
18058,A19,311,3
18058,A19,313,1
18058,A19,314,2
18058,A19,315,2
18058,A19,322,4
18058,A19,330,2
18058,A19,335,2
18058,A19,336,5
18058,A19,337,4
18058,A19,338,2
18058,A19,339,2
18058,A19,341,1
18058,A19,343,2
18058,A19,346,4
18058,A19,349,2
18058,A19,350,1
18058,A19,352,2
18058,A19,353,1
18058,A19,354,4
18058,A19,356,2
18058,A19,357,2
18058,A19,360,2
18058,A19,361,5
18058,A19,362,1
18058,A19,364,2
18058,A19,365,4
18058,A19,367,2
18058,A19,369,1
18058,A19,370,1
18058,A19,371,5
18058,A19,373,2
18058,A19,374,2
18058,A19,375,2
18058,A19,378,2
18058,A19,379,5
18058,A19,380,3
18058,A19,381,4
18058,A19,386,2
18058,A19,389,5
18058,A19,390,5
18058,A19,391,3
18058,A19,393,1
18058,A19,394,2
18058,A19,395,5
18058,A19,396,1
18058,A19,397,2
18058,A19,399,5
18058,A19,401,4
18058,A19,402,4
18058,A2,5,2
18058,A2,6,1
18058,A2,10,2
18058,A2,11,2
18058,A2,12,2
18058,A2,13,2
18058,A2,18,2
18058,A2,19,1
18058,A2,21,2
18058,A2,22,2
18058,A2,25,1
18058,A2,27,1
18058,A2,28,1
18058,A2,29,3
18058,A2,30,2
18058,A2,32,1
18058,A2,37,1
18058,A2,39,2
18058,A2,40,1
18058,A2,41,2
18058,A2,45,2
18058,A2,46,4
18058,A2,47,3
18058,A2,48,3
18058,A2,51,2
18058,A2,53,1
18058,A2,57,1
18058,A2,64,1
18058,A2,65,1
18058,A2,66,1
18058,A2,68,3
18058,A2,69,3
18058,A2,75,2
18058,A2,77,3
18058,A2,79,1
18058,A2,81,1
18058,A2,82,1
18058,A2,89,2
18058,A2,90,2
18058,A2,94,2
18058,A2,96,3
18058,A2,97,1
18058,A2,98,4
18058,A2,100,1
18058,A2,103,2
18058,A2,104,1
18058,A2,106,1
18058,A2,107,1
18058,A2,108,2
18058,A2,110,2
18058,A2,112,1
18058,A2,114,1
18058,A2,119,3
18058,A2,120,4
18058,A2,126,1
18058,A2,127,3
18058,A2,128,2
18058,A2,129,1
18058,A2,132,3
18058,A2,134,2
18058,A2,135,2
18058,A2,136,1
18058,A2,137,1
18058,A2,141,1
18058,A2,144,1
18058,A2,146,2
18058,A2,147,1
18058,A2,149,1
18058,A2,150,2
18058,A2,151,2
18058,A2,155,1
18058,A2,157,1
18058,A2,159,3
18058,A2,160,1
18058,A2,162,4
18058,A2,163,1
18058,A2,164,1
18058,A2,165,2
18058,A2,169,2
18058,A2,170,2
18058,A2,171,1
18058,A2,172,2
18058,A2,175,1
18058,A2,176,2
18058,A2,178,2
18058,A2,179,2
18058,A2,182,3
18058,A2,184,2
18058,A2,185,2
18058,A2,186,1
18058,A2,188,3
18058,A2,189,2
18058,A2,190,2
18058,A2,191,2
18058,A2,195,1
18058,A2,196,2
18058,A2,197,2
18058,A2,199,1
18058,A2,204,2
18058,A2,207,2
