project_id,question_id,response,response_index,suppress,text
18390,D100,1,1,f,Male
18390,D100,2,2,f,Female
18390,D101,9999,1,f,Refused
18390,D102,1,1,f,Did not complete high school
18390,D102,2,2,f,Graduated high school
18390,D102,3,3,f,Attended technical or vocational school
18390,D102,4,4,f,Attended some college but no degree
18390,D102,5,5,f,Graduated two-year college with Associate's degree
18390,D102,6,6,f,Graduated four-year college with Bachelor's degree
18390,D102,7,7,f,"Obtained Master's, PhD, or other professional degree (MD, DMD, etc.)"
18390,D102,8,8,f,(Refused)
18390,D103,1,1,f,Yes-Respondent
18390,D103,2,2,f,Yes-Household
18390,D103,3,3,f,Yes-Both
18390,D103,4,4,f,No
18390,D103,5,5,f,(Refused)
18390,D104,1,1,f,Yes-Respondent
18390,D104,2,2,f,Yes-Household
18390,D104,3,3,f,Yes-Both
18390,D104,4,4,f,No
18390,D104,5,5,f,(Refused)
18390,D105,1,1,f,Very liberal
18390,D105,2,2,f,Somewhat liberal
18390,D105,3,3,f,Moderate
18390,D105,4,4,f,Somewhat conservative
18390,D105,5,5,f,Very conservative
18390,D105,6,6,f,(Refused)
18390,D300,1,1,f,Black/African-American
18390,D300,2,2,f,White/Caucasian
18390,D300,3,3,f,Hispanic/Latino
18390,D300,4,4,f,Asian-American
18390,D300,5,5,f,Native American
18390,D300,6,6,f,Other
18390,D300,7,7,f,(Refused)
18390,D301,1,1,f,Yes
18390,D301,2,2,f,No
18390,D301,3,3,f,(Refused)
18390,DAGE,1,1,f,18-24
18390,DAGE,2,2,f,25-29
18390,DAGE,3,3,f,30-34
18390,DAGE,4,4,f,35-39
18390,DAGE,5,5,f,40-44
18390,DAGE,6,6,f,45-49
18390,DAGE,7,7,f,50-54
18390,DAGE,8,8,f,55-59
18390,DAGE,9,9,f,60-64
18390,DAGE,10,10,f,65-69
18390,DAGE,11,11,f,70+
18390,DAGE,12,12,f,Refused
18390,DRACE,1,1,f,Black/African-American
18390,DRACE,2,2,f,White/Caucasian
18390,DRACE,3,3,f,Hispanic/Latino
18390,DRACE,4,4,f,Asian-American
18390,DRACE,5,5,f,Native American
18390,DRACE,6,6,f,Other
18390,DRACE,7,7,f,(Refused)
18390,P1,1,1,f,Strong Democrat
18390,P1,2,2,f,Weak Democrat
18390,P1,3,3,f,Independent / Closer to the Democrats
18390,P1,4,4,f,Independent
18390,P1,5,5,f,Independent / Closer to the Republicans
18390,P1,6,6,f,Weak Republican
18390,P1,7,7,f,Strong Republican
18390,P1,8,8,f,(Don't know/Refused)
18390,P1X,1,1,f,Strong Democrat
18390,P1X,2,2,f,Not very strong Democrat
18390,P1X,3,3,f,Strong Republican
18390,P1X,4,4,f,Not very strong Republican
18390,P1X,5,5,f,Independent
18390,P1X,6,6,f,(Don't know/Refused)
18390,P1Y,1,1,f,Closer to Democrats
18390,P1Y,2,2,f,Closer to Republicans
18390,P1Y,3,3,f,(Neither/Independent)
18390,P1Y,4,4,f,(Don't know/Refused)
18390,P2T,1,1,f,Very excited
18390,P2T,2,2,f,Somewhat excited
18390,P2T,3,3,f,Not that excited
18390,P2T,4,4,f,(Don't know/Refused)
18390,PARTY,D,1,f,Democrat
18390,PARTY,I,2,f,Independent/Other
18390,PARTY,R,3,f,Republican
18390,Q1,1,1,f,Democrat
18390,Q1,2,2,f,Lean Democrat
18390,Q1,3,3,f,Republican
18390,Q1,4,4,f,Lean Republican
18390,Q1,5,5,f,(Don't know/Refused)
18390,Q10,1,1,f,Excellent
18390,Q10,2,2,f,Good
18390,Q10,3,3,f,Not so good
18390,Q10,4,4,f,Poor
18390,Q10,5,5,f,(Don't Know/Refused)
18390,Q11,1,1,f,Approve
18390,Q11,2,2,f,Disapprove
18390,Q11,3,3,f,(Don't know/Refused)
18390,Q12,1,1,f,Too liberal
18390,Q12,2,2,f,Too conservative
18390,Q12,3,3,f,Just about right
18390,Q12,4,4,f,(Don't know/Refused)
18390,Q13,1,1,f,Yes-mostly positive
18390,Q13,2,2,f,Yes-mostly negative
18390,Q13,3,3,f,(Yes-mix of positive and negative)
18390,Q13,4,4,f,(Yes-Don't know/Refused)
18390,Q13,5,5,f,No
18390,Q13,6,6,f,(Don't know/Refused)
18390,Q14X,1,1,f,Supports veterans/first responders
18390,Q14X,2,2,f,Supports women's rights/equal rights
18390,Q14X,3,3,f,Pro-choice
18390,Q14X,4,4,f,Her platform/policies/values
18390,Q14X,5,5,f,Pro-immigration
18390,Q14X,6,6,f,Works for the people
18390,Q14X,7,7,f,Pro-environment
18390,Q14X,8,8,f,Democrat
18390,Q14X,11,9,f,Taxes
18390,Q14X,12,10,f,Health care
18390,Q14X,13,11,f,Stands up to Trump
18390,Q14X,14,12,f,Seniors/Social Security/Medicare
18390,Q14X,15,13,f,Ads/commercials (no detail)
18390,Q14X,10,14,f,Other
18390,Q14X,9,15,f,Can't remember
18390,Q14Y,1,1,f,Ran for other office
18390,Q14Y,2,2,f,Too liberal
18390,Q14Y,3,3,f,Raise taxes
18390,Q14Y,4,4,f,Immigration
18390,Q14Y,5,5,f,Pro-choice
18390,Q14Y,6,6,f,Anti-guns/Second Amendment
18390,Q14Y,7,7,f,Anti-Trump
18390,Q14Y,8,8,f,Her platform/policies
18390,Q14Y,11,9,f,Democrat
18390,Q14Y,12,10,f,General negative (no detail)
18390,Q14Y,10,11,f,Other
18390,Q14Y,9,12,f,Can't remember
18390,Q15,1,1,f,Yes-mostly positive
18390,Q15,2,2,f,Yes-mostly negative
18390,Q15,3,3,f,(Yes-mix of positive and negative)
18390,Q15,4,4,f,(Yes-Don't know/Refused)
18390,Q15,5,5,f,No
18390,Q15,6,6,f,(Don't know/Refused)
18390,Q16X,1,1,f,Pro-Trump
18390,Q16X,2,2,f,Personal background
18390,Q16X,3,3,f,Taxes/Good for economy
18390,Q16X,4,4,f,Pro-guns/Second Amendment
